year,source,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,explanation,takeaway,source_pdf,source_pages,section_title,evidence_excerpt,quality_score,topic,sub_topic
"2025","subject","PT365 Current Affairs 2025","1","If the Reserve Bank of India intends to curtail the flow of credit for speculative activities in a particular sector of the economy, without significantly impacting the overall credit availability, which of the following would be its most appropriate instrument?","Increasing the Repo Rate","Raising the Cash Reserve Ratio (CRR)","Modifying the Margin Requirements for that sector","Conducting Open Market Operations to sell government securities","C","Economy","The scenario requires a tool that can selectively target a specific sector. Margin Requirements are a qualitative (or selective) credit control instrument that allows the RBI to do just this. By increasing the margin requirement for loans to a specific sector, the RBI makes borrowing for that purpose more difficult without tightening overall liquidity. The other options—Repo Rate, CRR, and Open Market Operations—are quantitative instruments that would reduce the overall money supply, affecting all sectors of the economy.","Qualitative monetary policy instruments like Margin Requirements are used for selective credit control to target specific economic activities, whereas quantitative instruments affect the overall money supply and credit conditions in the economy.","Economy PT 365 2026.pdf","5","RBI Monetary Policy Instruments","...qualitative tools, which selectively influence credit flow. ... Qualitative tools consist of Moral Suasion, Margin Requirements, and Direct Action.","92","Banking and Monetary Policy","RBI Monetary Policy Tools and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","2","Which of the following statements most accurately distinguishes between the Statutory Liquidity Ratio (SLR) and the Cash Reserve Ratio (CRR)?","CRR requires banks to hold reserves in cash with themselves, while SLR requires holding government securities with the RBI.","Banks earn interest on CRR balances from the RBI, but not on the assets maintained for SLR.","CRR mandates holding reserves as cash with the RBI, whereas SLR mandates holding specified liquid assets with the banks themselves.","An increase in CRR increases the lending capacity of banks, while an increase in SLR decreases it.","C","Economy","Option C provides the most accurate and complete distinction. CRR involves keeping a percentage of NDTL as cash with the RBI, on which no interest is earned. In contrast, SLR requires banks to maintain a percentage of NDTL in the form of specified liquid assets (like cash, gold, government bonds) with themselves. Option A incorrectly swaps the locations and asset types. Option B is incorrect as banks do not earn interest on CRR, but can earn interest on SLR assets like government bonds. Option D is incorrect as an increase in either CRR or SLR reduces the lending capacity of banks.","For comparison questions, focus on the precise details of each concept. The key differences between CRR and SLR lie in the form of the reserve (cash vs. liquid assets), the location of the reserve (with RBI vs. with self), and the potential for earning returns (none on CRR vs. potential returns on SLR assets).","Economy PT 365 2026.pdf","5","RBI Monetary Policy Instruments","CRR is the percentage of Net Demand and Time Liabilities (NDTL) that banks must keep as cash with the RBI, on which no interest is paid. SLR is the percentage of NDTL that banks must maintain in liquid assets like gold, government bonds, and cash by themselves.","90","Banking and Monetary Policy","RBI Monetary Policy Tools and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","3","With reference to the monetary policy instruments of the Reserve Bank of India (RBI), consider the following statements:
1. Quantitative instruments are designed to regulate the overall volume of credit in the economy.
2. Qualitative instruments are used to direct the flow of credit to specific sectors.
3. Margin Requirements and Moral Suasion are classified as quantitative instruments.
Which of the statements given above is/are correct?","1 only","1 and 2 only","2 and 3 only","1, 2 and 3","B","Economy","Statement 1 is correct. Quantitative instruments, such as the Repo Rate and CRR, are general in nature and affect the total money supply and credit availability in the entire economy. Statement 2 is also correct. Qualitative instruments are selective, targeting credit flows to or away from specific economic sectors or for particular purposes. Statement 3 is incorrect. Margin Requirements and Moral Suasion are examples of qualitative, not quantitative, instruments as they are used for selective credit control.","It is crucial to understand the fundamental distinction between quantitative and qualitative monetary policy instruments. Quantitative instruments manage the overall money supply, while qualitative instruments are used to direct credit to specific areas.","Economy PT 365 2026.pdf","5","RBI Monetary Policy Instruments","These are categorized into quantitative tools, which directly impact the overall money supply, and qualitative tools, which selectively influence credit flow. ... Qualitative tools consist of Moral Suasion, Margin Requirements, and Direct Action.","85","Banking and Monetary Policy","RBI Monetary Policy Tools and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","4","Consider the following pairs:
Instrument : Classification
1. Repo Rate : Quantitative Instrument
2. Margin Requirements : Qualitative Instrument
3. Cash Reserve Ratio : Qualitative Instrument
How many of the pairs given above are correctly matched?","Only one pair","Only two pairs","All three pairs","None of the pairs","B","Economy","Pair 1 is correctly matched: The Repo Rate is a key quantitative instrument used to control the overall money supply. Pair 2 is also correctly matched: Margin Requirements are a qualitative instrument used to influence credit flow for specific purposes. Pair 3 is incorrectly matched: The Cash Reserve Ratio (CRR) is a quantitative instrument, not a qualitative one, as it directly affects the volume of lendable funds in the banking system. Therefore, only two pairs are correctly matched.","Be able to correctly classify each monetary policy instrument as either quantitative or qualitative. Quantitative instruments (Repo, CRR, SLR) are broad in their impact, while qualitative instruments (Moral Suasion, Margin Requirements) are targeted.","Economy PT 365 2026.pdf","5","RBI Monetary Policy Instruments","Quantitative tools include the Repo Rate, Reverse Repo Rate, Cash Reserve Ratio (CRR), and Statutory Liquidity Ratio (SLR). Qualitative tools consist of Moral Suasion, Margin Requirements, and Direct Action.","85","Banking and Monetary Policy","RBI Monetary Policy Tools and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","5","Which of the following statements best explains the primary purpose of the Economic Capital Framework (ECF) adopted by the RBI?","To provide a rule-based framework for assessing the RBI's capital adequacy and determining the quantum of surplus to be transferred to the government.","To ensure a consistent and maximized annual dividend to the government to aid in fiscal consolidation.","To replace the statutory provisions of the RBI Act, 1934 with a more flexible, committee-based approach to profit sharing.","To primarily focus on increasing the returns from foreign currency assets to generate higher income for the RBI.","A","Economy","The primary purpose of the ECF is to provide a transparent and structured methodology to determine the appropriate level of capital the RBI should hold to cover various risks (risk provisions). After setting aside these provisions from its income, the remaining amount is the transferable surplus. Therefore, it is a framework for assessing capital adequacy first, and then determining the surplus. It does not aim to 'maximize' the transfer (Option B), 'replace' the RBI Act (Option C), or dictate investment strategy (Option D).","The Economic Capital Framework (ECF) institutionalizes the process of surplus transfer by prioritizing the financial resilience of the RBI. The transferable surplus is a residual amount calculated after ensuring the central bank is adequately capitalized against potential risks.","Economy PT 365 2026.pdf","5","RBI's Surplus Transfer and Economic Capital Framework","The ECF provides a methodology for determining the appropriate level of risk provisions and profit distribution under Section 47 of the RBI Act, 1934.","90","Banking and Monetary Policy","RBI Monetary Policy Tools and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","6","With reference to the transfer of surplus from the Reserve Bank of India (RBI) to the Government of India, consider the following statements:

1. The legal basis for the distribution of RBI's profits is provided under Section 47 of the RBI Act, 1934.
2. The amount of surplus to be transferred is determined annually by the Bimal Jalan Committee.

Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","A","Economy","Statement 1 is correct. The source material explicitly states that the Economic Capital Framework (ECF) provides a methodology for profit distribution under Section 47 of the RBI Act, 1934, which governs the allocation of the RBI's surplus profits. Statement 2 is incorrect. The Bimal Jalan Committee gave recommendations that led to the adoption of the ECF in 2019. The committee does not determine the surplus amount annually; the RBI does, using the methodology provided by the ECF.","It is crucial to distinguish between the legal provision (Section 47, RBI Act), the recommending body for the framework (Bimal Jalan Committee), and the operational framework itself (ECF) which guides the annual surplus transfer calculation.","Economy PT 365 2026.pdf","5","RBI's Surplus Transfer and Economic Capital Framework","The ECF provides a methodology for determining the appropriate level of risk provisions and profit distribution under Section 47 of the RBI Act, 1934... adopted in 2019 following the recommendations of the Bimal Jalan Committee.","85","Banking and Monetary Policy","RBI Monetary Policy Tools and Surplus Transfer"
"2025","subject","PT365 Current Affairs 2025","7","The strategy of holding a significant portion of forex reserves in gold entails specific risks. In which of the following hypothetical scenarios would the disadvantages of this strategy be most pronounced for a central bank?","A period of sustained global stagflation, characterized by high inflation and low economic growth.","A sudden, acute balance of payments crisis requiring immediate and large-scale intervention in the currency market.","A coordinated devaluation of major reserve currencies against gold by leading central banks.","A long-term trend of increasing geopolitical uncertainty driving investors towards safe-haven assets.","B","Economy","The source text highlights 'reduced liquidity' as a key risk of holding gold. During a sudden balance of payments crisis, a central bank needs to sell its reserves quickly (i.e., requires high liquidity) to defend its currency. The lower liquidity of gold compared to Foreign Currency Assets (like US Treasury bills) would be a significant disadvantage in such a scenario. In contrast, stagflation (A), geopolitical uncertainty (D), and currency devaluations against gold (C) are typically scenarios where gold's safe-haven and inflation-hedging properties are advantageous.","The suitability of a reserve asset depends on the specific economic conditions. While gold is a good store of value and hedge, its lower liquidity makes it less ideal for immediate crisis intervention compared to foreign currency assets.","Economy PT 365 2026.pdf","6","India's Forex Reserves","However, holding gold involves risks like reduced liquidity, zero yield, and high storage costs.","90","Banking and Monetary Policy","India's Forex Reserves and RBI's Financial Framework"
"2025","subject","PT365 Current Affairs 2025","8","Which of the following best describes the primary financial trade-off for a central bank when it decides to increase the share of gold in its foreign exchange reserves relative to its Foreign Currency Assets (FCA)?","Gaining a hedge against inflation while forgoing potential interest income and accepting lower liquidity.","Increasing direct control over reserve assets while exposing the reserves to higher sovereign credit risk.","Enhancing the portfolio's overall returns through speculative gains while accepting higher price volatility than currencies.","Simplifying the management of reserves while reducing the overall diversification of the asset portfolio.","A","Economy","The core trade-off involves exchanging the characteristics of Foreign Currency Assets (which typically earn interest and are highly liquid) for the characteristics of gold. The source states that gold serves as a hedge against inflation but has zero yield and reduced liquidity. Therefore, increasing gold holdings means sacrificing the regular income and immediate usability of FCAs for long-term value protection against inflation.","Central bank reserve management involves balancing the competing objectives of safety, liquidity, and return. Gold and foreign currency assets serve different strategic purposes within this framework, and their relative shares reflect the central bank's priorities and risk assessment.","Economy PT 365 2026.pdf","6","India's Forex Reserves","The RBI is increasing gold reserves for diversification... and as a hedge against inflation. However, holding gold involves risks like reduced liquidity, zero yield, and high storage costs.","85","Banking and Monetary Policy","India's Forex Reserves and RBI's Financial Framework"
"2025","subject","PT365 Current Affairs 2025","9","Consider the following statements regarding the Reserve Bank - Integrated Ombudsman Scheme, 2021 (RB-IOS):

1. The scheme functions as the mandatory first point of contact for all customer grievances against regulated entities.
2. The authority to bring Central and State Co-operative Banks under the scheme's ambit is derived from the Banking Regulation Act, 1949.

Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","Economy","Statement 1 is incorrect. The source material explicitly defines the scheme as an 'alternate' grievance redress mechanism. This implies that customers are expected to first approach the regulated entity (e.g., their bank) for complaint resolution. The Ombudsman scheme is a recourse if the issue is not resolved satisfactorily at the primary level. Statement 2 is correct. The source text clearly states that the inclusion of Central and State Co-operative Banks under the scheme was done under the Banking Regulation Act, 1949.","The RB-IOS is a secondary or appellate mechanism for customer grievance redressal, not the primary one. The RBI's regulatory power to extend such schemes to co-operative banks is rooted in the Banking Regulation Act, 1949.","Economy PT 365 2026.pdf","6","Reserve Bank - Integrated Ombudsman Scheme, 2021 (RB-IOS)","The Central and State Co-operative Banks have been brought under the ambit of the Reserve Bank - Integrated Ombudsman Scheme, 2021 (RB-IOS, 2021) under the Banking Regulation Act, 1949. The scheme's objective is to provide customers of regulated entities a speedy, cost-effective, and expeditious alternate grievance redress mechanism.","88","Banking and Monetary Policy","India's Forex Reserves and RBI's Financial Framework"
"2025","subject","PT365 Current Affairs 2025","10","With reference to the scope of the RBI Integrated Ombudsman Scheme, consider the following financial entities:

1. A Non-Banking Financial Company with an asset size of ₹90 crore.
2. An Urban Co-operative Bank with a deposit size of ₹75 crore.
3. A Regional Rural Bank.
4. A Credit Information Company.

How many of the above entities are covered under the scheme?","Only one","Only two","Only three","All four","C","Economy","Let's evaluate each entity:
1. A Non-Banking Financial Company (NBFC) is covered only if its asset size is ₹100 crore or more. Since the given NBFC has an asset size of ₹90 crore, it is not covered.
2. An Urban Co-operative Bank is covered if its deposit size is ₹50 crore or more. The given bank has a deposit size of ₹75 crore, so it is covered.
3. All Regional Rural Banks (RRBs) are covered under the scheme, without any size-based threshold.
4. All Credit Information Companies are covered under the scheme.

Therefore, three entities (Urban Co-operative Bank, Regional Rural Bank, and Credit Information Company) are covered under the scheme.","The RBI Integrated Ombudsman Scheme has specific eligibility criteria for certain financial institutions like NBFCs (based on asset size) and Urban Co-operative Banks (based on deposit size), while others like RRBs and Credit Information Companies are covered universally. It is crucial to remember these specific thresholds.","Economy PT 365 2026.pdf","7","RBI Integrated Ombudsman Scheme","Covers Commercial Banks, RRBs, Urban Co-operative Banks (deposit size ₹50 crore+), NBFCs (asset size ₹100 crore+), System Participants, and Credit Information Companies.","90","Banking and Monetary Policy","RBI Integrated Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","11","With reference to the RBI Integrated Ombudsman Scheme, consider the following statements:

1. It was formed by amalgamating the erstwhile Banking Ombudsman Scheme, the Ombudsman Scheme for NBFCs, and the Ombudsman Scheme for Digital Transactions.
2. It operates on a 'One Nation One Ombudsman' principle, making the grievance redressal mechanism jurisdiction-neutral.
3. The maximum compensation that can be awarded by the Ombudsman is ₹20 lakh, which is inclusive of any amount awarded for the complainant's expenses and distress.

Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 only","1, 2 and 3","A","Economy","Statement 1 is correct. The RBI Integrated Ombudsman Scheme integrates three previous schemes: the Banking Ombudsman Scheme (2006), the Ombudsman Scheme for NBFCs (2018), and the Ombudsman Scheme for Digital Transactions (2019). Statement 2 is correct. A key feature of the scheme is the 'One Nation One Ombudsman' approach, which allows a customer to file a complaint from anywhere, irrespective of the location of the bank branch, making it jurisdiction-neutral. Statement 3 is incorrect. The Ombudsman can award compensation of up to ₹20 lakh for the financial loss suffered by the complainant. In addition to this, a further compensation of up to ₹1 lakh can be awarded for the complainant's expenses, mental distress, and harassment; it is not included within the ₹20 lakh limit.","The RBI Integrated Ombudsman Scheme is a unified framework that integrates three previous schemes and operates on a jurisdiction-neutral 'One Nation One Ombudsman' principle. It's important to note the specific compensation limits, particularly that the amount for expenses and distress is additional to the primary compensation amount.","Economy PT 365 2026.pdf","7","RBI Integrated Ombudsman Scheme","It integrates three previous schemes: the Banking Ombudsman Scheme (2006), the Ombudsman Scheme for NBFCs (2018), and the Ombudsman Scheme for Digital Transactions (2019), adopting a 'One Nation One Ombudsman' jurisdiction-neutral approach. The Ombudsman can award compensation up to ₹20 lakh, with an additional ₹1 lakh for the complainant's expenses and distress.","85","Banking and Monetary Policy","RBI Integrated Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","12","Which one of the following statements best explains the functional relationship between the Standing Deposit Facility (SDF) and the Marginal Standing Facility (MSF) in the context of the RBI's monetary policy framework?","Both are liquidity injection facilities, forming the upper and lower bounds of the policy corridor.","The SDF acts as the floor of the policy corridor by absorbing liquidity, while the MSF acts as the ceiling by injecting liquidity.","Both facilities operate on a collateral-free basis to simplify liquidity management for banks.","The SDF is available to all LAF participants, whereas the MSF is restricted only to scheduled commercial banks.","B","Economy","The question asks for the best explanation of the *functional relationship*. The SDF and MSF define the Liquidity Adjustment Facility (LAF) corridor. The SDF rate is the floor, representing the rate at which the RBI absorbs surplus liquidity from the banking system. The MSF rate is the ceiling, representing the penal rate at which banks can borrow overnight from the RBI. Therefore, they have opposite functions (absorption vs. injection) that together bound the overnight interbank rate. Option D, while factually correct regarding eligibility, describes an operational difference, not their core functional relationship in defining the policy corridor.","The LAF corridor is defined by the MSF rate as the ceiling (for liquidity injection) and the SDF rate as the floor (for liquidity absorption), which together guide overnight interbank interest rates.","Economy PT 365 2026.pdf","7","Standing Deposit Facility (SDF)","It has replaced the Fixed Rate Reverse Repo as the floor of the Liquidity Adjustment Facility (LAF) corridor.","90","Banking and Monetary Policy","RBI Integrated Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","13","The establishment of the Standing Deposit Facility (SDF) by the Reserve Bank of India is considered a significant step in monetary policy management primarily because it:","allows the RBI to inject liquidity into the banking system without demanding collateral.","permanently narrows the width of the Liquidity Adjustment Facility (LAF) corridor.","empowers the RBI to absorb surplus liquidity without being constrained by its own holdings of government securities.","functions as the new benchmark policy rate, replacing the fixed repo rate.","C","Economy","The primary innovation of the SDF is its collateral-free nature for liquidity absorption. Previously, under the reverse repo system, the RBI had to provide government securities as collateral to absorb funds from banks. This limited the RBI's absorption capacity to its available stock of securities. The SDF removes this constraint, empowering the RBI to manage large liquidity surpluses more effectively without this limitation.","The SDF's main significance lies in making liquidity absorption an unconstrained, collateral-free operation for the RBI, enhancing its ability to manage monetary policy, especially during periods of high liquidity.","Economy PT 365 2026.pdf","7","Standing Deposit Facility (SDF)","The Standing Deposit Facility (SDF) is a monetary policy instrument used by the RBI to absorb liquidity from commercial banks without the need for providing collateral.","85","Banking and Monetary Policy","RBI Integrated Ombudsman Scheme and Standing Deposit Facility"
