year,source,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,explanation,takeaway,source_pdf,source_pages,section_title,evidence_excerpt,quality_score,topic,sub_topic
"2025","subject","PT365 Current Affairs 2025","14","Which of the following situations would most likely prompt the Reserve Bank of India (RBI) to increase the frequency or quantum of its Variable Rate Reverse Repo (VRRR) operations?","A situation of acute liquidity shortage in the inter-bank call money market.","A period marked by significant capital outflows leading to pressure on the domestic currency.","A surge in foreign capital inflows, necessitating RBI's intervention in the forex market.","A large-scale bond issuance by the government to finance its fiscal deficit.","C","Economy","The VRRR is a tool used by the RBI to absorb excess liquidity. A surge in foreign capital inflows (like FPI or FDI) leads to an appreciation pressure on the Indian Rupee. To manage the exchange rate, the RBI often intervenes by purchasing foreign currency (e.g., US dollars) and selling Indian Rupees. This action injects a significant amount of rupee liquidity into the banking system. To sterilize this inflow and prevent potential inflationary pressures, the RBI would need to absorb the excess liquidity, making it a prime scenario to increase the use of VRRR auctions.","Understanding the interplay between RBI's forex market operations and its domestic liquidity management is crucial. Interventions to manage the exchange rate (buying foreign currency) directly impact domestic liquidity (injecting rupees), which then necessitates the use of sterilization tools like VRRR to maintain monetary stability.","Economy PT 365 2026.pdf","7","Variable Rate Reverse Repo (VRRR)","The Variable Rate Reverse Repo (VRRR) is a tool used by the RBI to absorb excess liquidity from the banking system for a short duration.","90","Banking and Monetary Policy","RBI Integrated Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","15","With reference to the 'Switch Auction' mechanism conducted by the Reserve Bank of India (RBI), consider the following statements:
1. The primary objective is to manage the maturity profile of public debt by replacing short-term government securities with longer-dated ones.
2. It involves the simultaneous sale of 'destination securities' and purchase of 'source securities' by market participants.
3. These auctions are conducted by the RBI in its capacity as the debt manager for the Government of India.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","C","Economy","Statement 1 is correct. The primary goal of a Switch Auction is to manage the public debt maturity profile by exchanging short-term securities for long-term ones, thereby reducing near-term redemption pressure. Statement 3 is also correct. The RBI, acting as the debt manager for the government, conducts these auctions on behalf of the Government of India. Statement 2 is incorrect because it reverses the transaction flow. Market participants sell their short-term 'source securities' to the government and simultaneously purchase long-term 'destination securities', not the other way around.","A Switch Auction is a crucial debt management operation, distinct from liquidity management tools like repo or OMOs. Its purpose is to restructure existing government debt to create a smoother repayment schedule by extending the maturity profile.","Economy PT 365 2026.pdf","7","Switch Auction","A Switch Auction, initiated by the RBI in 2019 on behalf of the Government of India, is a mechanism to manage the maturity profile of public debt. The objective is to replace short-term government securities with longer-dated ones. In this process, market participants sell their short-term 'source securities' to the government and simultaneously purchase long-term 'destination securities'.","85","Banking and Monetary Policy","RBI Integrated Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","16","With reference to the Co-Lending Arrangements (CLAs) between banks and Non-Banking Financial Companies (NBFCs), consider the following statements:

1. These arrangements enable the joint extension of credit to borrowers by both participating entities.
2. Each co-lender is required to retain a minimum of 10% of the loan exposure on its own books.
3. For a loan qualifying under Priority Sector Lending (PSL) norms, the PSL status is applicable only to the bank's share of the credit.

Which of the statements given above is/are correct?","1 only","1 and 2 only","2 and 3 only","1, 2 and 3","B","Economy","Statement 1 is correct. The Co-Lending Arrangement framework is designed for Regulated Entities like banks and NBFCs to jointly provide credit to borrowers. Statement 2 is correct. A key RBI guideline mandates that each lending entity must retain a minimum 10% share of the loan on its books, ensuring they have 'skin in the game'. Statement 3 is incorrect. The guidelines explicitly state that each lender, including both the bank and the NBFC, can claim Priority Sector Lending (PSL) status for its respective share of the loan, provided the loan itself qualifies under PSL norms.","The Co-Lending Arrangement (CLA) allows banks and NBFCs to partner in lending, leveraging the bank's lower cost of funds and the NBFC's wider reach. Key regulatory safeguards include a minimum 10% risk retention by each partner and the extension of PSL benefits to both lenders on their respective loan shares.","Economy PT 365 2026.pdf","7","Co-lending Norms","The RBI has issued revised directions for Co-Lending Arrangements (CLAs) between Regulated Entities (REs) like banks and Non-bank Financial Companies (NBFCs). ... Key revised guidelines state that each lending entity must retain a minimum of 10% share of the loans on its books. Additionally, each lender can claim Priority Sector Lending (PSL) status for its respective share of the loan, provided the loan qualifies under PSL norms.","85","Banking and Monetary Policy","RBI Integrated Ombudsman Scheme and Standing Deposit Facility"
"2025","subject","PT365 Current Affairs 2025","17","With reference to the Uniform Asset Classification System in the context of consortium lending, which one of the following statements is correct?","The classification of a loan as a Non-Performing Asset (NPA) by any single lender in the consortium is binding on all other co-lenders.","A uniform classification of an asset as an NPA requires the consensus of a majority of the lenders in the consortium.","The lead bank of the consortium holds the sole authority to classify an asset, and its decision is binding on all other members.","Each co-lender is permitted to classify the asset independently, provided any divergence in classification is reported to the RBI.","A","Economy","The core principle of the Uniform Asset Classification System for consortium lending is to ensure consistency and prevent divergence in reporting stressed assets. According to this mandate, if even one lender in the consortium classifies a shared loan account as a Non-Performing Asset (NPA), all other co-lenders must adopt the same classification. This rule overrides independent assessment, majority decisions, or the exclusive authority of a lead bank in this specific matter.","The Uniform Asset Classification System enforces a ""one-for-all"" rule in consortium lending: if one lender flags a loan as an NPA, all co-lenders must follow suit. This ensures transparent and consistent recognition of credit risk across the banking system.","Economy PT 365 2026.pdf","8","Uniform Asset Classification System","The uniform asset classification system mandates that if one lender in a consortium tags a loan as a Non-performing Asset (NPA), all other co-lenders must also classify it as an NPA.","85","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","18","In the context of the regulatory framework for Payment Aggregators (PAs) in India, which one of the following best describes the distinct roles of the Companies Act, 2013, and the Payment and Settlement Systems Act, 2007?","The Companies Act specifies the permissible business activities for a PA, while the PSS Act outlines the technology and security standards.","The Companies Act provides the legal basis for the PA's incorporation as a corporate entity, while the PSS Act provides the RBI with the authority to regulate its payment system operations.","The PSS Act governs only non-bank PAs, whereas the Companies Act governs all PAs, including those operated by banks.","The Companies Act deals with corporate governance and shareholder rights, while the PSS Act deals exclusively with customer grievance redressal.","B","Economy","The Companies Act, 2013, is the primary legislation governing the formation and functioning of companies in India. It provides the legal framework for a PA to exist as a corporate entity. The Payment and Settlement Systems (PSS) Act, 2007, is a specialized law that empowers the Reserve Bank of India (RBI) to regulate and supervise all payment systems. Therefore, the authorisation and operational oversight of PAs' payment-related activities fall under the PSS Act. Option B correctly captures this distinction between general corporate law and specific sectoral regulation.","Understanding the division of regulatory authority is crucial. General corporate laws (like the Companies Act) establish the legal existence of an entity, while specific sectoral laws (like the PSS Act) govern its specialized functions and bring it under the purview of a sectoral regulator (like the RBI).","Economy PT 365 2026.pdf","8","Payment Aggregators","It must be incorporated under the Companies Act, 2013, and the new framework mandates that non-bank PAs obtain RBI authorisation under the Payment and Settlement Systems Act, 2007.","90","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","19","With reference to the regulatory framework for Payment Aggregators (PAs) in India, consider the following statements:

1. PAs are entities that facilitate the aggregation of payments from customers for transfer to merchants.
2. A Payment Aggregator must be incorporated as a company under the Companies Act, 2013.
3. All entities operating as PAs, including banks, are required to obtain authorisation from the RBI under the Payment and Settlement Systems Act, 2007.

Which of the statements given above is/are correct?","1 and 3 only","1 and 2 only","2 only","1, 2 and 3","B","Economy","Statement 1 correctly defines the core function of a Payment Aggregator, which is to collect payments from customers and transfer them to the concerned merchants. Statement 2 is also correct, as the regulatory framework mandates that a PA must be a company incorporated under the Companies Act, 2013. Statement 3 is incorrect. The RBI mandate for obtaining authorisation under the Payment and Settlement Systems Act, 2007, applies specifically to non-bank PAs. Banks that provide PA services are already under the RBI's comprehensive regulatory purview and do not require this separate authorisation.","It is important to understand the specific regulatory nuances for different financial entities. The distinction between bank and non-bank players is a common theme in financial sector regulations, as banks are often governed by a pre-existing, comprehensive regulatory framework.","Economy PT 365 2026.pdf","8","Payment Aggregators","A Payment Aggregator...is an entity that facilitates the aggregation of payments from customers to merchants. It must be incorporated under the Companies Act, 2013, and the new framework mandates that non-bank PAs obtain RBI authorisation under the Payment and Settlement Systems Act, 2007.","85","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","20","What is the most likely economic rationale for linking the interest rate on Ways and Means Advances (WMA) to the RBI's repo rate?","To guarantee that the government's borrowing cost via WMA is always the lowest available rate in the market.","To align the cost of this direct borrowing from the central bank with the prevailing monetary policy stance.","To provide a fixed and predictable interest rate for the government's budgetary planning throughout the year.","To generate a significant and stable stream of non-tax revenue for the Reserve Bank of India.","B","Economy","The repo rate is the RBI's key policy rate, signaling its monetary policy stance. By linking the WMA rate to the repo rate, the RBI ensures that the cost of even this direct, short-term government borrowing is consistent with overall monetary conditions. This prevents the WMA from becoming an avenue for cheap, unlimited credit that could undermine monetary policy objectives. The other options are incorrect: the repo rate is not necessarily the lowest rate (A), it is variable, not fixed (C), and revenue generation is a byproduct, not the primary policy rationale (D).","The pricing of central bank facilities is a crucial aspect of monetary policy. Linking the WMA rate to the repo rate aligns the government's short-term borrowing cost with the central bank's policy signals, ensuring consistency and fiscal discipline.","Economy PT 365 2026.pdf","8","Ways and Means Advances (WMA)","The interest rate is the RBI's repo rate.","90","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","21","With reference to the Ways and Means Advances (WMA) facility of the Reserve Bank of India, consider the following statements:

1. This facility is available to both the Central and State governments.
2. The advances under this facility are not intended to be a source for financing the fiscal deficit.
3. The tenure for the repayment of these advances is typically 91 days.

Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statement 1 is correct as the source material explicitly states that WMAs are given to 'the central and state governments'. Statement 2 is correct, as the text clarifies that 'WMAs are not a source of financing the fiscal deficit'. Statement 3 is incorrect; the repayment period is 'within three months', which is approximately 90 days, not specifically 91 days (a tenure often associated with Treasury Bills, making this a plausible distractor). Therefore, only statements 1 and 2 are correct.","Ways and Means Advances (WMA) are a short-term liquidity management tool for both central and state governments, provided by the RBI. They are distinct from deficit financing instruments and have a repayment tenure of up to three months.","Economy PT 365 2026.pdf","8","Ways and Means Advances (WMA)","Ways and Means Advances (WMA) are temporary advances given by the RBI to the central and state governments to cover mismatches in receipts and payments. ... WMAs are not a source of financing the fiscal deficit. ... the advance must be repaid within three months.","85","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","22","The establishment of the Unified Lending Interface (ULI) as a Digital Public Infrastructure (DPI) is primarily aimed at achieving which of the following economic objectives?","Controlling inflation by regulating liquidity in the inter-bank market.","Enhancing financial inclusion by improving access to formal credit for underserved segments.","Streamlining the issuance of government securities to manage public debt.","Facilitating cross-border remittances through integration with global payment networks.","B","Economy","The stated purpose of the Unified Lending Interface (ULI) is to 'enhance delivery of credit'. By creating a Digital Public Infrastructure for lending, the goal is to make the credit process more efficient, transparent, and accessible. This directly contributes to the broader economic objective of financial inclusion, as it helps bring previously underserved or unserved individuals and businesses into the formal credit system. The other options relate to different domains of economic management: monetary policy (A), public debt management (C), and external payments (D), which are not the primary focus of ULI.","Digital Public Infrastructures (DPIs) in the financial sector, such as ULI, are key tools for achieving policy objectives like financial inclusion. It is important to connect the specific function of an initiative (e.g., credit delivery) to its broader economic goal.","Economy PT 365 2026.pdf","8","New Initiatives by RBI","Unified Lending Interface (ULI): It is envisioned as a Digital Public Infrastructure (DPI) aiming to enhance delivery of credit.","90","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","23","In the context of recent financial innovations, which of the following statements best explains the concept of 'Tokenisation of Certificate of Deposits (CDs)'?","The conversion of physical CD certificates into a dematerialised form for electronic trading in a demat account.","The creation of a unique digital representation, or 'token', of a CD that can be transferred and recorded on a secure digital ledger.","A process of issuing a new type of digital-only CD that is backed by cryptocurrencies instead of bank deposits.","A new RBI facility that allows individuals to pledge their CDs as collateral for loans using a digital signature.","B","Economy","Tokenisation is the process of creating a unique digital representation (a 'token') of a real-world asset, in this case, a Certificate of Deposit. This token can then be managed—stored, transferred, and recorded—on a digital platform, often using distributed ledger technology. Option A describes dematerialisation, a related but distinct process of converting physical securities into electronic book-entry form. Option C incorrectly links tokenisation to cryptocurrencies. Option D describes a potential application of a digital asset, not the process of tokenisation itself.","Tokenisation creates a digital proxy for a real-world asset, enabling easier management on a digital ledger. It is conceptually different from dematerialisation, which involves converting physical securities into an electronic format within the existing depository system.","Economy PT 365 2026.pdf","8","New Initiatives by RBI","Tokenisation of Certificate of Deposits (CD): Creating a digital representation, called a 'token', of a real-world asset.","88","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","24","With reference to recent initiatives by the Reserve Bank of India, consider the following pairs:
1. CBDC retail sandbox : A live environment for the general public to conduct daily transactions.
2. Tokenisation of CDs : Creating a digital proxy for a negotiable money market instrument.
3. Unified Lending Interface : A system for real-time, large-value inter-bank fund transfers.
Which of the pairs given above is/are correctly matched?","1 and 3 only","2 only","2 and 3 only","1, 2 and 3","B","Economy","Pair 1 is incorrectly matched. The CBDC retail sandbox is a controlled environment for fintech firms to innovate and test solutions, not a platform for general public transactions. Pair 2 is correctly matched. Tokenisation of a Certificate of Deposit (CD) involves creating a digital representation or 'token' for this asset, which is a negotiable money market instrument. Pair 3 is incorrectly matched. The Unified Lending Interface (ULI) is a Digital Public Infrastructure designed to enhance the delivery of credit, not a payment system for inter-bank fund transfers like RTGS.","It is crucial to know the specific purpose of each new RBI initiative: the CBDC sandbox is for testing by fintechs, tokenisation creates digital representations of assets, and ULI is focused on improving the credit ecosystem.","Economy PT 365 2026.pdf","8","New Initiatives by RBI","Central Bank Digital Currency (CBDC) retail sandbox: For fintech firms to innovate and test solutions. Tokenisation of Certificate of Deposits (CD): Creating a digital representation, called a 'token', of a real-world asset. CD is a negotiable money market instrument... Unified Lending Interface (ULI): ...aiming to enhance delivery of credit.","85","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","25","With reference to the RBI's framework for Self-Regulatory Organisations (SROs), it is mandated that they be set up as not-for-profit companies under Section 8 of the Companies Act, 2013. Which of the following best explains the primary rationale behind this mandate?","To ensure the SRO's objectives are developmental and regulatory, rather than profit-driven, thus preventing conflicts of interest.","To allow the SRO to receive foreign grants and donations, which are restricted for for-profit entities under FEMA.","To exempt the SRO from all forms of corporate taxation, thereby reducing its operational costs significantly.","To enable the government to easily take over the management of the SRO if it fails in its duties, as per the Companies Act.","A","Economy","A Section 8 company is established for promoting commerce, art, science, etc., and must apply its profits towards promoting its objects, with a prohibition on paying dividends. This structure ensures that the SRO's focus remains on its regulatory and developmental mandate for the industry, rather than on generating profits for shareholders, which could create a serious conflict of interest.","The legal structure of regulatory bodies is often designed to align their incentives with their public purpose. For SROs, a not-for-profit structure is crucial to maintain impartiality and focus on industry governance and compliance.","Economy PT 365 2026.pdf","8","Self-Regulatory Organisation for NBFCs","An SRO shall be setup as a not-for-profit company registered under Section 8 of the Companies Act, 2013.","90","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
"2025","subject","PT365 Current Affairs 2025","26","Consider the following statements regarding the Self-Regulatory Organisation (SRO) framework for entities regulated by the RBI: 1. The Finance Industry Development Council (FIDC), a newly recognized SRO, is tasked with overseeing scheduled commercial banks. 2. An SRO recognized under this framework must be structured as a not-for-profit company under Section 8 of the Companies Act, 2013. 3. The RBI’s 'Omnibus Framework' for SROs provides a standardized set of guidelines applicable across various sectors it regulates, not limited to a single sector. Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","3 only","1, 2 and 3","B","Economy","Statement 1 is incorrect; the FIDC has been recognized as an SRO to oversee Non-Banking Financial Companies (NBFCs), not commercial banks. Statement 2 is correct as the RBI framework explicitly requires SROs to be not-for-profit companies registered under Section 8 of the Companies Act, 2013. Statement 3 is also correct; the term 'Omnibus' and the scope 'for Regulated Entities (REs)' signify that the framework is comprehensive and applicable to various types of entities under the RBI's purview, ensuring a standardized approach.","It is crucial to know the specific mandates of regulatory bodies (e.g., FIDC for NBFCs) and understand the legal and structural requirements for such organizations (e.g., Section 8 company). Also, understanding regulatory terminology like 'Omnibus Framework' is key to interpreting the scope of new regulations.","Economy PT 365 2026.pdf","8","Self-Regulatory Organisation for NBFCs","RBI granted Self-Regulatory Organisation status to Finance Industry Development Council (FIDC) to oversee NBFCs... An SRO shall be setup as a not-for-profit company registered under Section 8 of the Companies Act, 2013... RBI’s Omnibus Framework for recognising Self-Regulatory Organisations (SROs) for Regulated Entities (REs), 2024.","85","Banking and Monetary Policy","Payment Systems, Government Borrowing, and RBI Initiatives"
