year,source,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,explanation,takeaway,source_pdf,source_pages,evidence_excerpt,quality_score,topic,sub_topic
"2025","subject","PT365 Current Affairs 2025","1","With reference to the Economic Capital Framework (ECF) of the Reserve Bank of India, consider the following statements:
1. It provides a methodology for determining the appropriate level of risk provisions and profit distribution.
2. It was adopted based on the recommendations of the Bimal Jalan Committee.
3. It is an integral part of the RBI's broader Enterprise-wide Risk Management (ERM) framework.
Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","D","Economy","All three statements are correct and directly supported by the source text. Statement 1 accurately describes the core concept of the ECF. Statement 2 correctly identifies its genesis, linking it to the Bimal Jalan Committee recommendations. Statement 3 correctly places the ECF within the larger institutional framework of the RBI, noting it is part of the ERM framework established in 2012.","Understand the key features of the RBI's Economic Capital Framework, including its purpose, the committee behind its recommendation, and its relationship with the broader Enterprise-wide Risk Management (ERM) framework.","Economy PT 365 2026.pdf","5","Concept: ECF provides a methodology for determining the appropriate level of risk provisions and profit distribution... Genesis: ECF was adopted by RBI in 2019, based on the recommendations of the Bimal Jalan Committee... The ECF is an integral part of the Enterprise-wide Risk Management (ERM) framework (2012).","88","Banking and Monetary Policy","RBI Monetary Policy and Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","2","Consider the following statements regarding the operational impact of the Reserve Bank of India's monetary policy tools:
1. An increase in the Repo Rate typically leads to a contraction of the money supply in the economy.
2. A rise in the Cash Reserve Ratio (CRR) results in an expansion of the lendable resources of commercial banks.
3. The imposition of higher margin requirements is a qualitative tool used to stimulate credit flow towards specific sectors.
Which of the statements given above is/are correct?","1 only","1 and 2 only","2 and 3 only","3 only","A","Economy","Statement 1 is correct. An increase in the Repo Rate makes borrowing from the RBI more expensive for commercial banks, which in turn reduces their lending capacity and leads to a decrease in the overall money supply. Statement 2 is incorrect. An increase in the CRR requires banks to hold more cash with the RBI, which reduces, not expands, their lendable funds. Statement 3 is incorrect. Higher margin requirements mean a smaller loan amount is given for a certain value of collateral. This is used to curb or restrict credit flow, particularly for speculative purposes, not to stimulate it.","A clear understanding of the mechanism and directional impact of each monetary policy tool is essential. Quantitative tools affect the overall volume of money, while qualitative tools affect its direction, and it's important to know whether a specific action is contractionary or expansionary.","Economy PT 365 2026.pdf","5","REPO RATE (Lending Rate)... ↑ Rate = ↓ Money Supply. CRR (Cash Reserve Ratio)... ↑ CRR = ↓ Lendable Funds. MARGIN REQUIREMENTS... Higher margin = less loan amount for collateral. Used to curb speculation.","85","Banking and Monetary Policy","RBI Monetary Policy and Economic Capital Framework"
"2025","subject","PT365 Current Affairs 2025","3","With reference to the financial framework of the Reserve Bank of India, consider the following statements:
1. The Contingent Risk Buffer (CRB) is a component of the RBI's realized equity, maintained to provide for various financial stability risks.
2. Revaluation Balances account for unrealized gains or losses that arise from movements in exchange rates and gold prices.
3. Both the CRB and Revaluation Balances are treated as part of the RBI's annual surplus that is transferable to the Government of India.
How many of the statements given above are correct?","Only one","Only two","All three","None","B","Economy","Statement 1 is correct. The text defines the CRB as a component of RBI’s realized equity used to provide for monetary, financial, credit, and operational risks. Statement 2 is correct. Revaluation Balances are defined as unrealized gains resulting from movements in exchange rates, gold prices, etc. Statement 3 is incorrect. Revaluation Balances are unrealized and not part of the distributable surplus. The CRB is a provision from realized equity, not a part of the annual surplus to be transferred. Therefore, only statements 1 and 2 are correct.","It is important to differentiate between realized equity provisions (like CRB) and unrealized accounting adjustments (like Revaluation Balances) on the RBI's balance sheet, and to understand that they are not part of the surplus transferable to the government.","Economy PT 365 2026.pdf","6","Contingent Risk Buffer (CRB): Component of RBI’s realized equity to provide for monetary and financial stability, credit, and operational risks.Revaluation Balances: The unrealized gains, net of losses, resulting from exchange rate, gold price and interest rate movements.","90","Banking and Monetary Policy","Forex Reserves and RBI Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","4","With reference to the Reserve Bank of India's (RBI) management of gold reserves, consider the following statements:
1. Increasing gold reserves is a strategy to diversify foreign currency assets and reduce dependency on the US dollar.
2. Gold is accumulated as a hedge against inflation to protect the purchasing power of the country's foreign reserves.
3. Gold holdings generally offer higher liquidity and flexibility for conversion to cash compared to foreign currency assets.
4. Unlike government bonds or currency deposits, gold as an asset yields no interest or dividends.
How many of the statements given above are correct?","Only one","Only two","Only three","All four","C","Economy","Statement 1 is correct; the text mentions diversification and reducing dependency on the US dollar as reasons for increasing gold reserves. Statement 2 is correct; gold is stated to be a hedge against inflation. Statement 3 is incorrect; the text explicitly mentions 'Reduced Liquidity and Flexibility' as a risk, noting that converting gold is slower and costlier than liquidating foreign currency assets. Statement 4 is correct; 'Zero Yield' is listed as a characteristic, as gold yields no interest or dividends. Therefore, statements 1, 2, and 4 are correct.","Understand both the strategic motivations (diversification, inflation hedge) and the inherent drawbacks (low liquidity, zero yield, storage costs) of holding gold as part of a central bank's foreign exchange reserves.","Economy PT 365 2026.pdf","6","Why is RBI increasing gold reserves? Diversification: Diversify the foreign currency assets base and reduce dependency on the US dollar (de-dollarization). ... Hedge against Inflation: Gold is accumulated as a hedge against inflation, helping protect the purchasing power of India’s foreign reserves. Risk Associated with Storing Gold Reduced Liquidity and Flexibility: Converting large gold holdings to cash during is slower and costlier than liquidating foreign currency assets. Zero Yield: Gold yields no interest or dividends, unlike bonds or currency deposits.","88","Banking and Monetary Policy","Forex Reserves and RBI Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","5","With reference to the components of India's Foreign Exchange Reserves, consider the following statements:
1. Foreign Currency Assets (FCA) are maintained in a diversified basket of currencies including the US dollar, euro, and Japanese yen.
2. Special Drawing Rights (SDRs) are non-interest-bearing assets created by the IMF to supplement the official reserves of its member countries.
3. The Reserve Tranche Position (RTP) represents a portion of a member country's quota with the IMF that can be withdrawn without facing strict conditionality.
How many of the statements given above are correct?","Only one","Only two","All three","None","B","Economy","Statement 1 is correct. The source explicitly mentions that FCA are maintained in currencies like the US dollar, euro, pound sterling, Australian dollar, and Japanese yen. Statement 2 is incorrect. The source clearly states that Special Drawing Rights are an 'interest-bearing' reserve asset. Statement 3 is correct. The RTP is described as the portion of a member's quota that is 'readily available for withdrawal without strict conditions'. Therefore, statements 1 and 3 are correct.","A clear understanding of the different components of foreign exchange reserves is essential, including their specific characteristics such as whether they are interest-bearing and the conditions attached to their use.","Economy PT 365 2026.pdf","6","Foreign Currency Assets (FCA): These are maintained in currencies like the US dollar, euro, pound sterling, Australian dollar, and Japanese yen. Special Drawing Rights: An interest-bearing reserve asset created by the IMF to supplement members' reserve assets. Reserve Tranche Position (RTP): It is the difference between the member's quota and the IMF's holdings of the member's currency that is readily available for withdrawal without strict conditions.","85","Banking and Monetary Policy","Forex Reserves and RBI Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","6","Consider the following pairs:
1. Contingent Risk Buffer : Unrealized gains from asset price movements
2. Revaluation Balances : A component of realized equity for financial stability risks
3. Special Drawing Rights : An interest-bearing reserve asset created by the IMF
Which of the pairs given above is/are correctly matched?","1 and 2 only","3 only","2 and 3 only","1, 2 and 3","B","Economy","Pair 1 is incorrectly matched. Contingent Risk Buffer (CRB) is a component of RBI’s realized equity. Unrealized gains are part of Revaluation Balances. Pair 2 is incorrectly matched. Revaluation Balances consist of unrealized gains, while CRB is the component of realized equity. The definitions are effectively swapped. Pair 3 is correctly matched. Special Drawing Rights (SDRs) are defined as an interest-bearing reserve asset created by the IMF.","It is crucial to distinguish between the RBI's realized equity provisions like CRB and its unrealized accounts like Revaluation Balances, as well as understanding the nature of IMF-related assets like SDRs.","Economy PT 365 2026.pdf","6","Contingent Risk Buffer (CRB): Component of RBI’s realized equity to provide for monetary and financial stability, credit, and operational risks.Revaluation Balances: The unrealized gains, net of losses, resulting from exchange rate, gold price and interest rate movements.Special Drawing Rights: An interest-bearing reserve asset created by the IMF to supplement members' reserve assets.","85","Banking and Monetary Policy","Forex Reserves and RBI Ombudsman Scheme"
"2025","subject","PT365 Current Affairs 2025","7","The introduction of the Standing Deposit Facility (SDF) as the floor of the Liquidity Adjustment Facility (LAF) corridor has a significant implication for the Reserve Bank of India's monetary operations. Which of the following best explains this implication?","It signals a policy shift towards using only collateralized instruments for managing liquidity.","It provides the RBI with an unconstrained tool to absorb liquidity, especially during periods of government securities scarcity.","It makes the interest rate for overnight liquidity absorption entirely market-determined.","It limits the RBI's ability to absorb liquidity to only scheduled working days.","B","Economy","The key feature of the Standing Deposit Facility (SDF) is that it allows the RBI to absorb liquidity from commercial banks without providing any collateral in return. This is a major departure from the traditional reverse repo operations which require government securities as collateral. Therefore, the primary implication is that the RBI's capacity to absorb surplus liquidity is no longer constrained by the availability of government securities in its portfolio. This makes SDF a powerful, unconstrained tool. Option A is incorrect as SDF is uncollateralized. Option C is incorrect as the SDF rate is fixed by the RBI. Option D is incorrect as the facility is available on all days.","The uncollateralized nature of the Standing Deposit Facility (SDF) is its most critical feature, enhancing the RBI's flexibility in liquidity management by removing the constraint of needing government securities for absorption operations.","Economy PT 365 2026.pdf","7","Standing Deposit Facility (SDF)It is a monetary tool that absorbs liquidity from commercial banks without collateral. Features: SDF replaced the Fixed Rate Reverse Repo as the Liquidity Adjustment Facility corridor’s floor.","90","Banking and Monetary Policy","RBI Initiatives and Key Terms"
"2025","subject","PT365 Current Affairs 2025","8","With reference to the Co-Lending Arrangements (CLA) between banks and Non-Banking Financial Companies (NBFCs), consider the following statements:
1. Each participating Regulated Entity is required to retain on its books a minimum of 10% of the individual loan.
2. If a co-lent loan qualifies as a priority sector asset, the Priority Sector Lending (PSL) status can be claimed only by the participating bank.
3. The fundamental purpose of this model is to improve liquidity management among Regulated Entities in the interbank market.
Which of the statements given above is/are correct?","1 only","1 and 2 only","2 and 3 only","3 only","A","Economy","Statement 1 is correct. The revised RBI directions for Co-Lending Arrangements mandate that each Regulated Entity (RE) must retain a minimum 10% share of the loans on its books. Statement 2 is incorrect. The norms explicitly state that 'Each lender can claim PSL status for its share under co-lending, if the loan qualifies as priority sector.' This means both the bank and the NBFC can claim the benefit for their respective shares. Statement 3 is incorrect. The purpose of CLAs is the 'extension of credit to the borrowers,' aimed at improving credit flow to the unserved and underserved sector, not for managing interbank liquidity.","Co-Lending Arrangements are designed to enhance credit delivery to the priority sector by leveraging the reach of NBFCs and the funding capacity of banks. Key features include mandatory risk sharing (minimum 10% retention) and shared eligibility for PSL benefits.","Economy PT 365 2026.pdf","7","Under CLAs, Regulated Entities (REs) can enter a lending arrangement with other REs for extension of credit to the borrowers... Minimum share: Each RE to retain a minimum 10% share of the loans. Priority Sector Lending (PSL) status: Each lender can claim PSL status for its share under co-lending, if the loan qualifies as priority sector.","85","Banking and Monetary Policy","RBI Initiatives and Key Terms"
"2025","subject","PT365 Current Affairs 2025","9","With reference to the scope of the Reserve Bank of India's Integrated Ombudsman Scheme, which one of the following statements is correct?","It covers all Non-Banking Financial Companies, but excludes Housing Finance Companies and Credit Information Companies.","All Regional Rural Banks and Urban Co-operative Banks are covered, irrespective of their deposit size.","A Non-Banking Financial Company with an asset size of ₹100 crore, which has a customer interface but does not accept deposits, is covered.","The scheme integrated the ombudsman schemes for banking and digital transactions, but the scheme for NBFCs remains separate.","C","Economy","Option C is correct. The text specifies that the scheme covers 'All Non-Banking Financial Companies (excluding Housing Finance Companies) which are authorised to accept deposits or have customer interface, with an assets size of ₹100 crore.' The condition is 'or', not 'and', so an NBFC with the required asset size and a customer interface is covered even if it is not deposit-taking. Option A is incorrect because Credit Information Companies are explicitly included. Option B is incorrect because Urban Co-operative Banks are covered only if their deposit size is ₹50 crore or more. Option D is incorrect as the scheme integrated all three schemes: Banking, NBFCs, and Digital Transactions.","The RBI Integrated Ombudsman Scheme has specific and nuanced eligibility criteria for different financial entities, including asset/deposit size thresholds and functional requirements (like customer interface). It is crucial to note these details to understand the scheme's full scope.","Economy PT 365 2026.pdf","7","All Commercial Banks, Regional Rural Banks, Scheduled Primary (Urban) Co-operative Banks, and Non-Scheduled Primary (Urban) Co-operative Banks with deposits size of ₹50 crore. All Non-Banking Financial Companies (excluding Housing Finance Companies) which are authorised to accept deposits or have customer interface, with an assets size of ₹100 crore. ... Credit Information Companies. It integrated the three Ombudsman schemes of RBI, namely: the Banking Ombudsman Scheme, 2006; the Ombudsman Scheme for Non-Banking Financial Companies, 2018; and the Ombudsman Scheme for Digital Transactions, 2019.","88","Banking and Monetary Policy","RBI Initiatives and Key Terms"
"2025","subject","PT365 Current Affairs 2025","10","Consider the following statements regarding the liquidity absorption mechanisms of the Reserve Bank of India:
1. Under the Variable Rate Reverse Repo (VRRR) auctions, the rate of interest is market-determined.
2. The Standing Deposit Facility (SDF) enables liquidity absorption from the banking system on an uncollateralized basis.
3. The SDF has replaced the Fixed Rate Reverse Repo as the ceiling of the Liquidity Adjustment Facility (LAF) corridor.
Which of the statements given above is/are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","Economy","Statement 1 is correct. The source text explicitly states that for Variable Rate Reverse Repo (VRRR), 'the interest rate is not fixed and is decided by the market.' Statement 2 is correct. The SDF is defined as a tool that 'absorbs liquidity from commercial banks without collateral.' Statement 3 is incorrect. The SDF replaced the Fixed Rate Reverse Repo as the 'floor' of the LAF corridor, not the ceiling. The ceiling of the LAF corridor is typically the Marginal Standing Facility (MSF) rate.","It is important to clearly distinguish between the RBI's various liquidity management tools. Key differentiating factors include whether the interest rate is fixed or variable (market-determined), and whether the operation is collateralized or uncollateralized. Also, knowing their position within the LAF corridor (floor vs. ceiling) is crucial.","Economy PT 365 2026.pdf","7","Standing Deposit Facility (SDF)It is a monetary tool that absorbs liquidity from commercial banks without collateral. Features: SDF replaced the Fixed Rate Reverse Repo as the Liquidity Adjustment Facility corridor’s floor. Variable Rate Reverse Repo (VRRR)...The term variable rate means the interest rate is not fixed and is decided by the market.","85","Banking and Monetary Policy","RBI Initiatives and Key Terms"
"2025","subject","PT365 Current Affairs 2025","11","What is the primary objective behind the Reserve Bank of India's framework for recognizing Self-Regulatory Organisations (SROs) for its regulated entities?","To delegate the core regulatory and penal functions of the RBI to industry-led bodies.","To foster a culture of self-discipline and adherence to best practices within the industry, complementing the RBI's oversight.","To create an official channel for financial institutions to collectively negotiate regulatory norms with the RBI.","To replace the existing grievance redressal mechanisms with a new system managed entirely by the SROs.","B","Economy","The role of a Self-Regulatory Organisation (SRO) is to establish and enforce industry standards and best practices, thereby promoting self-discipline among its members. This complements the formal regulatory framework of the central authority (like the RBI) rather than replacing or taking over its core functions. Option A is incorrect as core functions are not delegated. Option C is incorrect as the purpose is regulation and discipline, not negotiation. Option D is incorrect as SROs do not replace established mechanisms like the Banking Ombudsman.","Understand that SROs are meant to supplement, not supplant, the main regulator's role by improving industry conduct and standards from within.","Economy PT 365 2026.pdf","8","RBI granted Self-Regulatory Organisation status to Finance Industry Development Council (FIDC) to oversee NBFCs. FIDC is a representative body of non-banking financial companies (NBFC) registered with the RBI. About Self-Regulatory Organisation (SRO) Legal Backing: RBI’s Omnibus Framework for recognising Self-Regulatory Organisations (SROs) for Regulated Entities (REs), 2024.","90","Banking and Monetary Policy","Payment Systems, RBI Advances, and New Initiatives"
"2025","subject","PT365 Current Affairs 2025","12","Consider the following statements regarding Payment Aggregators (PAs) in India:
1. PAs are entities that facilitate payments from customers to merchants, including for transactions involving investment products.
2. The regulatory framework for non-bank PAs mandates them to seek authorisation under the Payment and Settlement Systems Act, 2007.
3. To operate as a PA, an entity must be set up as a not-for-profit company under Section 8 of the Companies Act, 2013.
How many of the statements given above are correct?","Only one","Only two","All three","None","B","Economy","Statement 1 is correct. The text states that PAs facilitate payments for the 'purchase of goods, services or investment products'. Statement 2 is correct. The text specifies that the 'New framework mandates non-bank PAs to obtain RBI authorisation under the Payment and Settlement Systems Act, 2007'. Statement 3 is incorrect. The requirement to be a not-for-profit company under Section 8 of the Companies Act, 2013 applies to Self-Regulatory Organisations (SROs), not Payment Aggregators. PAs must be incorporated as a company under the Companies Act, 2013, but not necessarily a Section 8 company. Therefore, only two statements are correct.","It is crucial to distinguish the specific regulatory requirements for different types of financial entities. While both PAs and SROs are regulated, their incorporation rules and governing acts can differ significantly.","Economy PT 365 2026.pdf","8","Payment Aggregators * It is an entity that facilitates aggregation of payments made by customers to merchants... for purchase of goods, services or investment products. * It is incorporated as a company under the Companies Act, 2013. * New framework mandates non-bank PAs to obtain RBI authorisation under the Payment and Settlement Systems Act, 2007. Eligibility of SROs: * An SRO shall be setup as a not-for-profit company registered under Section 8 of the Companies Act, 2013.","85","Banking and Monetary Policy","Payment Systems, RBI Advances, and New Initiatives"
"2025","subject","PT365 Current Affairs 2025","13","Which one of the following statements best clarifies the relationship between Ways and Means Advances (WMA) and the financing of the government's fiscal deficit?","WMA is a mechanism for short-term cash flow management for the government and is explicitly not a tool for financing the fiscal deficit.","WMA and ad hoc Treasury Bills are interchangeable instruments used by the RBI to finance the government's fiscal deficit.","WMA is exclusively used to finance the revenue deficit component, while the capital deficit is financed through market borrowings.","While the central government uses WMA for liquidity management, state governments can use it as a source of deficit financing.","A","Economy","The source text explicitly states that WMA is a 'temporary advance... to cover any mismatch in receipts and payments' and that 'Unlike ad hoc Treasury Bills, the instrument of WMAs is not a source of financing fiscal deficit'. This clearly defines its role as a tool for managing temporary liquidity issues, not for funding a structural deficit. Option B is incorrect as the text contrasts WMA with ad hoc T-Bills in this regard. Options C and D introduce details and exceptions not supported by the text.","Understand the fundamental distinction between temporary liquidity support (like WMA) and deficit financing. WMA addresses short-term cash flow mismatches, whereas the fiscal deficit represents a structural gap between government's total expenditure and total receipts.","Economy PT 365 2026.pdf","8","Ways and Means Advances (WMA) * It is a temporary advance given by the RBI to the central government to cover any mismatch in receipts and payments. * Unlike ad hoc Treasury Bills, the instrument of WMAs is not a source of financing fiscal deficit.","85","Banking and Monetary Policy","Payment Systems, RBI Advances, and New Initiatives"
