year,exam,question_number,question,option_a,option_b,option_c,option_d
2025,UPSC Prelims GS1,1,"With reference to investments consider the following I Bonds II Hedge Funds III Stocks IV Venture Capital How many of the above are treated as Alternative Investment Funds","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,2,"Which of the following are the sources of income for the Reserve Bank of India I Buying and selling Government bonds II Buying and selling foreign currency III Pension fund management IV Lending to private companies V Printing and distributing currency notes","I and II only","II III and IV","I III IV and V","I II and V"
2025,UPSC Prelims GS1,3,"With reference to Government of India organizations and their functions consider the given table In how many rows is the information correctly matched","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,4,"Consider the following statements about Business Responsibility and Sustainability Report BRSR Which of the statements given above is or are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,5,"Consider the following statements about allied agricultural income and rural agricultural land Which one of the following is correct","Both correct and II explains I","Both correct but II does not explain I","I correct but II not correct","I not correct but II correct"
2025,UPSC Prelims GS1,6,"Consider the following statements regarding Minerals Security Partnership and critical minerals policy Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,7,"Consider the following statements about bondholders and stockholders Which one of the following is correct","Both II and III explain I","Both I and II correct and I explains II","Only one of II or III explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,8,"Consider the following statements about India stock market growth and options trading regulation Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,9,"Consider the following statements about circular economy Which one of the following is correct","Both II and III explain I","Both II and III correct but only one explains I","Only one explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,10,"Consider the following statements about capital receipts Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,11,"Consider the following statements about Raja Ram Mohan Roy Which of the statements given above is or are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,12,"Consider the following subjects with regard to Non Cooperation Programme How many of the above were parts of Non Cooperation Programme","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,13,"The irrigation device called Araghatta was","Water bag pulled over pulley","Large wheel with earthen pots on spokes","Large earthen pot driven by bullocks","Water bucket pulled by rope"
2025,UPSC Prelims GS1,14,"Who among the following rulers had assumed the titles Mattavilasa Vichitrachitta and Gunabhara","Mahendravarman I","Simhavishnu","Narasimhavarman I","Simhavarman"
2025,UPSC Prelims GS1,15,"Fa Hien the Chinese pilgrim travelled to India during the reign of","Samudragupta","Chandragupta II","Kumaragupta I","Skandagupta"
2025,UPSC Prelims GS1,16,"Who led a successful military campaign against the kingdom of Srivijaya","Amoghavarsha","Prataparudra","Rajendra I","Vishnuvardhana"
2025,UPSC Prelims GS1,17,"With reference to ancient India consider the following pairs territorial region and river How many are correctly matched","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,18,"The first Gandharva Mahavidyalaya music training school was set up in 1901 by Vishnu Digambar Paluskar in","Delhi","Gwalior","Ujjain","Lahore"
2025,UPSC Prelims GS1,19,"Ashokan inscriptions suggest that the Pradeshika Rajuka and Yukta were important officers at the","Village level administration","District level administration","Provincial administration","Central administration"
2025,UPSC Prelims GS1,20,"Consider the following statements in respect of the Non Cooperation Movement Which of the statements given above is or are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,21,"Consider the following countries Austria Bulgaria Croatia Serbia Sweden North Macedonia How many of the above are members of NATO","Only three","Only four","Only five","All the six"
2025,UPSC Prelims GS1,22,"Consider the following countries Bolivia Brazil Colombia Ecuador Paraguay Venezuela Andes mountains pass through how many of the above countries","Only two","Only three","Only four","Only five"
2025,UPSC Prelims GS1,23,"Consider the following water bodies Lake Tanganyika Lake Tonle Sap Patos Lagoon Through how many of them does the equator pass","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,24,"Consider the following statements about turmeric during the year 2022-23 Which of the statements given above are correct","I and II only","I and III only","II and III only","I II and III"
2025,UPSC Prelims GS1,25,"Which of the following are the evidences of the phenomenon of continental drift","I and III only","I and II only","I II and III","II and III only"
2025,UPSC Prelims GS1,26,"Consider the following statements about dust particles in the atmosphere Which one of the following is correct","Both I and II correct and II explains I","Both I and II correct but II does not explain I","I correct but II incorrect","I incorrect but II correct"
2025,UPSC Prelims GS1,27,"Consider the following statements about isotherms in January in the Northern Hemisphere Which one of the following is correct","Both I and II correct and II explains I","Both I and II correct but II does not explain I","I correct but II incorrect","I incorrect but II correct"
2025,UPSC Prelims GS1,28,"Consider the following statements about permeability of rocks chalk and clay Which one of the following is correct","Both II and III explain I","Both II and III correct but only one explains I","Only one of II or III explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,29,"Consider the following statements about atmosphere and greenhouse gases Which of the statements given above are correct","I and III only","I and II only","I II and III","II and III only"
2025,UPSC Prelims GS1,30,"Consider the following statements about PM Surya Ghar Muft Bijli Yojana Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,31,"Consider the following statements about carbon dioxide emissions from cement industry Which one of the following is correct","Both II and III explain I","Both II and III correct but only one explains I","Only one of II or III explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,32,"Consider the following statements about COP28 declaration on climate and health Which one of the following is correct","Both II and III explain I","Both II and III correct but only one explains I","Only one of II or III explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,33,"Consider the following statements about changes in Earth rotation and axis Which one of the following is correct","Both II and III explain I","Both II and III correct but only one explains I","Only one of II or III explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,34,"Consider the following statements about Article 6 of the Paris Agreement Which one of the following is correct","Both II and III explain I","Both II and III correct but only one explains I","Only one of II or III explains I","Neither II nor III correct"
2025,UPSC Prelims GS1,35,"Which one of the following launched the Nature Solutions Finance Hub for Asia and the Pacific","Asian Development Bank","Asian Infrastructure Investment Bank","New Development Bank","International Bank for Reconstruction and Development"
2025,UPSC Prelims GS1,36,"With reference to Direct Air Capture technology which of the following statements are correct","I and II only","III only","I II and III","None"
2025,UPSC Prelims GS1,37,"Regarding Peacock tarantula consider the following statements Which of the statements given above is or are correct","I only","I and III","II only","II and III"
2025,UPSC Prelims GS1,38,"Consider the following statements about CO2 emissions in India Which of the statements given above is or are correct","I and III only","II only","II and III only","I II and III"
2025,UPSC Prelims GS1,39,"Consider the following pairs Plant and description Cassava Woody shrub Ginger Herb with pseudostem Malabar spinach Herbaceous climber Mint Annual shrub Papaya Woody shrub How many pairs are correctly matched","Only two","Only three","Only four","All the five"
2025,UPSC Prelims GS1,40,"With reference to planet Earth consider the following statements about oxygen production Which of the statements given above is or are correct","I and II","II only","I and III","None of the above"
2025,UPSC Prelims GS1,41,"Consider the following statements about the Tenth Schedule of the Constitution of India regarding disqualification of members Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,42,"Consider the following statements Statement I In India State Governments have no power to make rules for grant of concessions for extraction of minor minerals Statement II The Central Government has the power to notify minor minerals Which one of the following is correct","Both I and II correct and II explains I","Both I and II correct but II does not explain I","Statement I correct but Statement II incorrect","Statement I incorrect but Statement II correct"
2025,UPSC Prelims GS1,43,"Consider the following statements regarding powers of the Governor of a State Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,44,"Consider the following statements regarding parliamentary privileges Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,45,"Consider the following pairs Provision in Constitution and where it is mentioned Separation of judiciary from executive Directive Principles Valuing heritage of composite culture Fundamental Duties Prohibition of child labour below 14 years Fundamental Rights How many pairs are correctly matched","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,46,"Consider the following statements about constitutional amendments in India Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,47,"Consider the following statements regarding constitutional provisions about finance commission Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,48,"Consider the following statements about legislative powers between Union and States Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,49,"Consider the following statements regarding Supreme Court advisory jurisdiction Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,50,"Consider the following statements about RTGS and NEFT payment systems in India Which of the statements given above are correct","I only","I and II","II and III","I II and III"
2025,UPSC Prelims GS1,51,"Consider the following statements about India railways National Rail Plan and Kavach system Which of the statements given above are not correct","I and II only","II and III only","I and III only","None"
2025,UPSC Prelims GS1,52,"Consider the following statements regarding science and technology developments Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,53,"Consider the following statements regarding biotechnology developments Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,54,"Consider the following statements regarding India space missions Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,55,"Consider the following statements regarding National Rail Plan and Kavach train protection system Which of the statements given above are not correct","I and II only","II and III only","I and III only","None"
2025,UPSC Prelims GS1,56,"Consider the following statements regarding constitutional provisions and governance Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,57,"Consider the following statements regarding international organizations Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,58,"Consider the following statements about Rashtriya Gokul Mission Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,59,"Consider the following statements about turmeric production and export during 2022-23 Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,60,"Consider the following statements about carbon dioxide emissions in India Which of the statements given above are correct","I and III only","II only","II and III only","I II and III"
2025,UPSC Prelims GS1,61,"Consider the following statements regarding India semiconductor mission Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,62,"Consider the following statements about the National Logistics Policy Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,63,"Consider the following statements regarding the Digital Personal Data Protection Act Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,64,"Consider the following statements regarding Green Hydrogen Mission Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,65,"Consider the following statements regarding the Semiconductor ecosystem Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,66,"Consider the following statements regarding quantum computing Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,67,"With reference to monoclonal antibodies consider the following statements I They are man made proteins II They bind to specific antigens III They are used in treatment of some viral diseases Which of the statements given above are correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,68,"Consider the following statements about gene editing technologies Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,69,"Consider the following statements about artificial intelligence regulation Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,70,"Consider the following statements regarding semiconductor fabrication Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,71,"Consider the following statements regarding India energy transition Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,72,"Consider the following statements regarding electric mobility ecosystem Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,73,"Consider the following statements regarding lithium resources Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,74,"Consider the following statements regarding battery energy storage systems Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,75,"Consider the following statements regarding offshore wind energy Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,76,"Consider the following statements regarding India biodiversity mission Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,77,"Consider the following statements regarding wildlife conservation policies Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,78,"Consider the following statements regarding marine biodiversity Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,79,"Consider the following statements regarding forest conservation initiatives Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,80,"Consider the following statements regarding ecosystem restoration Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,81,"Consider the following statements regarding constitutional provisions of India Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,82,"Consider the following statements regarding judicial review in India Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,83,"Consider the following statements regarding ordinance making powers Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,84,"Consider the following statements regarding parliamentary committees Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,85,"Consider the following statements regarding anti defection law Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,86,"Consider the following statements regarding constitutional amendments Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,87,"Consider the following statements regarding federal structure of India Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,88,"Consider the following statements regarding fundamental rights Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,89,"Consider the following statements regarding directive principles Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,90,"Consider the following statements regarding Panchayati Raj system Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,91,"Consider the following statements regarding Panchayats at intermediate level Which of the statements given above are not correct","I and II only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,92,"Consider the following statements in respect of BIMSTEC Which of the statements given above is or are correct","I and II","II and III","I and IV","I only"
2025,UPSC Prelims GS1,93,"Who among the following are members of the jury to select the recipient of Gandhi Peace Prize","II and IV only","I II and III","II III and IV","I and III only"
2025,UPSC Prelims GS1,94,"GPS Aided Geo Augmented Navigation GAGAN uses a system of ground stations Which of the following statements are correct","I II and III","II and III only","I only","I and II only"
2025,UPSC Prelims GS1,95,"Consider the following statements regarding AI Action Summit held in Paris February 2025 Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,96,"Consider the following pairs International Year and Year Which of the pairs given above are correctly matched","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,97,"Consider the following statements with regard to BRICS Which of the statements given above are correct","I and II","II and III","I and III","I only"
2025,UPSC Prelims GS1,98,"Consider the following statements about Lokpal Which of the statements given above are correct","III only","II and III","I and IV","None of the above"
2025,UPSC Prelims GS1,99,"Consider the following statements in respect of first Kho Kho World Cup Which of the statements given above are correct","I only","II and III only","I and III only","I II and III"
2025,UPSC Prelims GS1,100,"Consider the following statements about chess players Which of the statements given above are correct","I only","II only","Both I and II","Neither I nor II"
